start,end,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,02:30:00,0,6,7,8,5,0,0,0,0,0,0,0,4,1,2,3,0,5,6,7,8,0,0,0,0,0,0,0,3,4,1
02:00:00,04:30:00,0,0,0,0,0,0,0,0,4,1,2,3,8,5,6,7,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5
04:00:00,06:30:00,0,0,0,0,4,1,2,3,8,5,6,7,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0
06:00:00,08:30:00,4,1,2,3,8,5,6,7,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0,0,0,0,0
08:00:00,10:30:00,8,5,6,7,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0,0,0,0,0,0,2,3,4
10:00:00,12:30:00,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0,0,0,0,0,0,2,3,4,1,6,7,8
12:00:00,14:30:00,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0,0,0,0,0,0,2,3,4,1,6,7,8,5,0,0,0
14:00:00,16:30:00,3,4,1,2,7,8,5,6,0,0,0,0,0,0,0,0,2,3,4,1,6,7,8,5,0,0,0,0,0,0,0
16:00:00,18:30:00,7,8,5,6,0,0,0,0,0,0,0,0,2,3,4,1,6,7,8,5,0,0,0,0,0,0,0,0,1,2,3
18:00:00,20:30:00,0,0,0,0,0,0,0,0,2,3,4,1,6,7,8,5,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7
20:00:00,22:30:00,0,0,0,0,2,3,4,1,6,7,8,5,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,0,0,0
22:00:00,00:30:00,2,3,4,1,6,7,8,5,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0
